w57,w58,w59,w60,g1,g2,h
448,833,914,286,603,1008,405
454,623,138,85,666,840,174
455,393,178,985,986,814,852
455,452,914,926,57,707,650
455,452,914,948,79,729,650
456,110,400,968,549,457,932
457,505,357,561,822,415,617
457,1010,637,218,344,612,268
459,632,230,810,993,144,175
461,245,138,280,186,1011,825
461,687,303,370,932,124,216
462,586,138,510,472,952,480
463,366,914,312,961,736,799
463,709,153,122,337,932,595
466,711,390,189,372,380,8
468,69,455,143,288,957,669
468,76,935,504,570,309,763
468,442,230,686,862,980,118
471,806,153,16,715,208,517
471,806,153,18,717,210,517
471,849,376,954,505,277,796
473,473,144,184,962,540,602
474,552,462,249,681,420,763
474,942,914,82,664,842,178
476,561,400,927,956,346,414
478,635,604,926,165,97,956
478,730,930,597,315,425,110
479,358,14,896,650,590,964
479,358,14,897,651,591,964
479,891,390,6,233,222,1013
480,762,922,188,421,942,521
480,991,14,813,575,811,236
482,110,604,926,507,566,59
482,205,930,597,629,675,46
482,846,954,895,941,319,402
485,919,664,586,998,346,372
491,720,376,176,757,70,337
492,662,138,533,949,285,360
493,765,145,395,740,336,620
496,267,153,688,575,877,302
497,348,914,63,871,133,286
499,519,886,780,976,810,858
499,982,886,906,331,789,458
501,313,396,597,839,930,91
503,505,307,600,861,549,712
505,105,136,91,552,207,679
505,105,136,987,424,79,679
506,41,369,7,479,989,510
508,64,230,1014,375,649,274
508,816,89,430,455,118,687
508,938,814,1019,513,724,211
509,68,235,1020,189,452,263
509,956,84,62,422,66,668
510,89,376,896,596,494,922
513,816,230,953,978,817,863
922,567,13,558,491,352,885
923,231,303,893,641,677,36
923,289,773,425,284,518,234
923,295,886,733,432,104,696
923,675,72,868,725,868,143
924,853,23,182,693,856,163
926,59,235,64,246,433,187
927,256,935,244,596,367,795
927,497,922,512,646,176,554
927,499,739,253,291,463,172
927,499,739,1020,34,206,172
930,510,53,667,16,719,703
930,758,763,756,670,59,413
931,522,814,597,552,91,563
932,464,553,747,324,480,156
932,464,553,748,325,481,156
932,826,534,918,144,549,405
933,0,621,351,747,704,981
937,512,773,927,211,406,195
939,102,969,228,962,406,468
942,129,235,64,422,651,229
942,852,13,631,70,799,729
943,471,178,131,620,706,86
945,94,390,730,574,123,573
945,667,604,298,25,56,31
948,802,949,24,915,421,530
948,803,814,96,971,1006,35
950,615,38,928,614,789,175
958,247,563,834,836,547,735
959,579,138,945,314,871,557
961,39,230,833,568,494,950
966,305,138,569,682,505,847
967,331,563,956,850,711,885
967,389,14,1014,184,732,548
967,611,178,437,315,717,402
969,909,913,484,605,796,191
969,1010,512,756,882,290,432
970,806,138,599,274,590,316
971,88,178,437,185,887,702
973,1014,474,794,728,853,125
974,812,914,628,208,1005,797
974,925,390,801,668,612,968
975,662,400,717,109,187,78
976,553,390,254,670,246,600
978,335,230,680,766,517,775
978,920,230,131,814,888,74
980,1009,914,130,176,27,875
981,82,307,623,146,65,943
982,256,89,529,881,635,778
982,256,89,561,913,667,778
983,495,14,1014,605,693,88
987,527,13,603,670,935,265
991,459,230,337,253,996,743
991,814,577,72,644,95,475
993,504,462,762,975,416,465
994,846,153,609,655,987,332
996,591,814,745,819,912,93
996,862,390,927,719,768,49
1002,314,400,246,440,728,288
1004,316,390,150,440,852,412
1006,723,38,689,294,57,787
1007,725,805,191,660,670,10
1009,775,886,897,41,244,203
1010,286,886,347,216,191,999
1010,623,805,398,979,62,107
1012,857,814,880,560,1011,451
1012,959,313,94,374,908,534
1013,773,468,405,669,658,1013
1013,965,393,152,395,887,492
1016,216,914,110,860,702,866
1016,838,619,866,15,113,98
1019,116,604,330,266,709,443
1021,126,406,840,167,188,21
1021,246,914,551,505,631,126
1021,498,813,102,156,890,734
1021,512,40,53,361,34,697
1022,761,230,220,373,942,569
1022,767,390,899,188,488,300
1022,994,47,491,363,861,498
1023,248,230,402,643,383,764
308,592,886,598,145,387,242
308,904,230,53,990,851,885
308,904,230,54,991,852,885
206,852,261,800,239,412,173
208,223,342,57,951,258,331
213,996,536,721,433,182,773
217,353,935,884,750,423,697
217,651,296,977,958,586,652
219,736,681,776,596,547,975
220,568,745,592,766,357,615
221,260,178,967,103,143,40
221,261,914,244,420,476,56
221,450,892,208,523,250,751
221,489,398,803,298,74,800
221,649,400,700,585,543,982
224,134,604,90,304,982,678
225,257,914,565,933,203,294
225,512,913,743,27,198,171
226,694,619,378,285,316,31
228,192,14,594,961,808,871
229,300,598,63,611,268,681
229,349,604,608,408,241,857
229,735,178,685,483,499,16
233,546,510,963,786,166,404
237,91,89,486,154,819,665
237,301,261,380,944,1018,74
239,414,13,530,389,623,234
239,514,814,28,368,431,63
241,190,218,563,911,934,23
241,693,321,656,611,417,830
246,879,914,203,748,373,649
247,209,72,19,624,858,234
247,209,72,916,497,731,234
247,470,468,85,590,563,997
248,335,315,292,378,671,293
248,403,1003,922,446,497,51
248,764,773,675,44,639,595
252,178,805,504,531,51,544
254,52,121,489,430,679,249
255,870,681,471,137,286,149
256,247,913,237,239,432,193
259,314,292,398,592,476,908
262,792,554,669,306,622,316
265,245,969,838,744,125,405
268,509,313,60,385,432,47
269,133,80,868,10,73,63
270,74,703,362,268,353,85
274,507,703,557,722,715,1017
275,400,38,431,3,363,360
275,946,70,921,32,385,353
276,71,773,111,352,169,841
276,759,153,764,694,933,239
277,893,886,840,203,275,72
278,531,303,76,718,572,878
278,751,681,413,984,622,662
279,862,17,336,128,823,695
280,436,121,455,342,210,892
281,926,303,867,686,312,650
