Candidate: M[0]=0x34c
Cascade-Optimized DP at N=10
Search space: 2^40 = 1099511627776

  W1[57]=207: 0 local colls, 9 total [2171s]
  W1[57]=208: 1 local colls, 13 total [2182s]
  W1[57]=210: 0 local colls, 13 total [2182s]
  W1[57]=211: 0 local colls, 8 total [2203s]
  W1[57]=213: 1 local colls, 15 total [2204s]
  W1[57]=215: 0 local colls, 20 total [2207s]
  W1[57]=212: 0 local colls, 12 total [2209s]
  W1[57]=217: 2 local colls, 19 total [2214s]
  W1[57]=216: 0 local colls, 12 total [2215s]
  W1[57]=214: 0 local colls, 20 total [2220s]
  W1[57]=218: 0 local colls, 13 total [2221s]
  W1[57]=220: 1 local colls, 12 total [2221s]
  W1[57]=222: 0 local colls, 13 total [2222s]
  W1[57]=221: 5 local colls, 16 total [2227s]
  W1[57]=219: 1 local colls, 13 total [2227s]
  W1[57]=223: 0 local colls, 14 total [2238s]
  W1[57]=224: 1 local colls, 10 total [2243s]
  W1[57]=226: 1 local colls, 14 total [2253s]
  W1[57]=225: 2 local colls, 15 total [2260s]
  W1[57]=227: 0 local colls, 8 total [2268s]
  W1[57]=229: 3 local colls, 23 total [2273s]
  W1[57]=228: 1 local colls, 16 total [2275s]
  W1[57]=230: 0 local colls, 12 total [2276s]
  W1[57]=234: 0 local colls, 13 total [2282s]
  W1[57]=231: 0 local colls, 19 total [2283s]
  W1[57]=237: 2 local colls, 18 total [2290s]
  W1[57]=232: 0 local colls, 12 total [2292s]
  W1[57]=235: 0 local colls, 12 total [2295s]
  W1[57]=236: 0 local colls, 13 total [2296s]
  W1[57]=233: 1 local colls, 21 total [2302s]
  W1[57]=238: 0 local colls, 13 total [2302s]
  W1[57]=240: 0 local colls, 10 total [2306s]
  W1[57]=239: 2 local colls, 16 total [2307s]
  W1[57]=242: 0 local colls, 15 total [2325s]
  W1[57]=241: 2 local colls, 16 total [2329s]
  W1[57]=243: 0 local colls, 8 total [2335s]
  W1[57]=247: 3 local colls, 16 total [2342s]
  W1[57]=244: 0 local colls, 23 total [2342s]
  W1[57]=245: 0 local colls, 16 total [2345s]
  W1[57]=246: 1 local colls, 13 total [2351s]
  W1[57]=249: 0 local colls, 18 total [2358s]
  W1[57]=250: 0 local colls, 12 total [2359s]
  W1[57]=251: 0 local colls, 12 total [2363s]
  W1[57]=252: 1 local colls, 14 total [2364s]
  W1[57]=248: 3 local colls, 22 total [2365s]
  W1[57]=254: 1 local colls, 14 total [2374s]
  W1[57]=255: 1 local colls, 11 total [2378s]
  W1[57]=256: 1 local colls, 17 total [2381s]
  W1[57]=253: 0 local colls, 21 total [2384s]
  W1[57]=257: 0 local colls, 15 total [2395s]
  W1[57]=258: 0 local colls, 16 total [2402s]
  W1[57]=262: 1 local colls, 17 total [2407s]
  W1[57]=259: 1 local colls, 9 total [2411s]
  W1[57]=261: 0 local colls, 23 total [2414s]
  W1[57]=260: 0 local colls, 16 total [2414s]
  W1[57]=266: 0 local colls, 12 total [2423s]
  W1[57]=272: 0 local colls, 21 total [2426s]
  W1[57]=264: 0 local colls, 18 total [2427s]
  W1[57]=267: 0 local colls, 14 total [2428s]
  W1[57]=263: 0 local colls, 13 total [2430s]
  W1[57]=265: 1 local colls, 13 total [2437s]
  W1[57]=268: 1 local colls, 23 total [2439s]
  W1[57]=270: 1 local colls, 12 total [2451s]
  W1[57]=269: 1 local colls, 15 total [2453s]
  W1[57]=271: 0 local colls, 17 total [2456s]
  W1[57]=277: 1 local colls, 24 total [2466s]
  W1[57]=276: 2 local colls, 11 total [2468s]
  W1[57]=273: 0 local colls, 15 total [2469s]
  W1[57]=274: 1 local colls, 17 total [2471s]
  W1[57]=275: 2 local colls, 19 total [2473s]
  W1[57]=280: 1 local colls, 22 total [2488s]
  W1[57]=279: 1 local colls, 13 total [2492s]
  W1[57]=278: 2 local colls, 18 total [2499s]
  W1[57]=283: 0 local colls, 13 total [2500s]
  W1[57]=281: 1 local colls, 19 total [2500s]
  W1[57]=282: 1 local colls, 15 total [2504s]
  W1[57]=287: 1 local colls, 16 total [2513s]
  W1[57]=285: 0 local colls, 23 total [2513s]
  W1[57]=284: 0 local colls, 13 total [2514s]
  W1[57]=286: 1 local colls, 13 total [2520s]
  W1[57]=288: 0 local colls, 17 total [2529s]
  W1[57]=289: 1 local colls, 25 total [2530s]
  W1[57]=292: 2 local colls, 19 total [2540s]
  W1[57]=291: 2 local colls, 17 total [2545s]
  W1[57]=290: 0 local colls, 11 total [2547s]
  W1[57]=293: 2 local colls, 21 total [2548s]
  W1[57]=295: 2 local colls, 15 total [2555s]
  W1[57]=294: 0 local colls, 22 total [2563s]
  W1[57]=298: 2 local colls, 21 total [2567s]
  W1[57]=297: 0 local colls, 13 total [2570s]
  W1[57]=296: 0 local colls, 18 total [2574s]
  W1[57]=300: 2 local colls, 18 total [2576s]
  W1[57]=299: 1 local colls, 16 total [2577s]
  W1[57]=302: 0 local colls, 13 total [2580s]
  W1[57]=301: 1 local colls, 24 total [2587s]
  W1[57]=304: 2 local colls, 19 total [2597s]
  W1[57]=303: 2 local colls, 15 total [2599s]
  W1[57]=305: 2 local colls, 27 total [2604s]
  W1[57]=307: 1 local colls, 18 total [2606s]
  W1[57]=306: 2 local colls, 21 total [2610s]
  W1[57]=308: 3 local colls, 14 total [2616s]
  W1[57]=311: 0 local colls, 22 total [2627s]
  W1[57]=309: 3 local colls, 24 total [2628s]
  W1[57]=310: 2 local colls, 17 total [2630s]
  W1[57]=314: 0 local colls, 18 total [2639s]
  W1[57]=312: 3 local colls, 24 total [2640s]
  W1[57]=313: 0 local colls, 13 total [2642s]
  W1[57]=315: 0 local colls, 18 total [2647s]
  W1[57]=317: 2 local colls, 15 total [2649s]
  W1[57]=316: 1 local colls, 17 total [2650s]
  W1[57]=318: 0 local colls, 24 total [2660s]
  W1[57]=320: 3 local colls, 18 total [2667s]
  W1[57]=321: 0 local colls, 27 total [2668s]
  W1[57]=322: 1 local colls, 19 total [2670s]
  W1[57]=319: 1 local colls, 20 total [2672s]
  W1[57]=324: 3 local colls, 17 total [2681s]
  W1[57]=323: 3 local colls, 24 total [2686s]
  W1[57]=325: 1 local colls, 23 total [2696s]
  W1[57]=326: 2 local colls, 26 total [2698s]
  W1[57]=329: 1 local colls, 25 total [2703s]
  W1[57]=327: 0 local colls, 17 total [2709s]
  W1[57]=330: 1 local colls, 14 total [2714s]
  W1[57]=331: 1 local colls, 19 total [2716s]
  W1[57]=328: 0 local colls, 18 total [2716s]
  W1[57]=332: 3 local colls, 18 total [2718s]
  W1[57]=336: 2 local colls, 29 total [2721s]
  W1[57]=333: 0 local colls, 17 total [2727s]
  W1[57]=337: 3 local colls, 22 total [2733s]
  W1[57]=335: 2 local colls, 20 total [2735s]
  W1[57]=338: 1 local colls, 21 total [2737s]
  W1[57]=334: 1 local colls, 25 total [2738s]
  W1[57]=341: 0 local colls, 23 total [2750s]
  W1[57]=339: 0 local colls, 17 total [2760s]
  W1[57]=340: 0 local colls, 24 total [2763s]
  W1[57]=342: 0 local colls, 26 total [2768s]
  W1[57]=343: 0 local colls, 25 total [2776s]
  W1[57]=345: 2 local colls, 16 total [2777s]
  W1[57]=346: 2 local colls, 21 total [2777s]
  W1[57]=350: 0 local colls, 17 total [2787s]
  W1[57]=347: 1 local colls, 19 total [2788s]
  W1[57]=348: 1 local colls, 19 total [2790s]
  W1[57]=344: 1 local colls, 18 total [2790s]
  W1[57]=349: 3 local colls, 32 total [2794s]
  W1[57]=352: 0 local colls, 20 total [2796s]
  W1[57]=353: 0 local colls, 21 total [2799s]
  W1[57]=351: 1 local colls, 23 total [2807s]
  W1[57]=354: 0 local colls, 25 total [2815s]
  W1[57]=355: 0 local colls, 23 total [2824s]
  W1[57]=356: 0 local colls, 17 total [2829s]
  W1[57]=358: 1 local colls, 27 total [2839s]
  W1[57]=357: 1 local colls, 25 total [2840s]
  W1[57]=361: 0 local colls, 21 total [2842s]
  W1[57]=359: 1 local colls, 26 total [2843s]
  W1[57]=360: 0 local colls, 16 total [2848s]
  W1[57]=362: 2 local colls, 19 total [2852s]
  W1[57]=365: 1 local colls, 19 total [2865s]
  W1[57]=370: 1 local colls, 26 total [2866s]
  W1[57]=363: 1 local colls, 20 total [2868s]
  W1[57]=364: 0 local colls, 19 total [2868s]
  W1[57]=366: 0 local colls, 32 total [2868s]
  W1[57]=368: 0 local colls, 21 total [2871s]
  W1[57]=367: 0 local colls, 20 total [2874s]
  W1[57]=369: 3 local colls, 26 total [2881s]
